"Program","xPONENT","","FlexMAP 3D"
"Build","4.3.229.0"
"Date","07/21/2020","9:35 AM"

"SN","FM3DD20029021"
"Batch","200721_Ciao_33_IgA_G_M"
"Version","1"
"Operator",""
"ComputerName","DESKTOP-FVNKTLP"
"Country Code","7F"
"ProtocolName","Plasmapheresis erweiterter batch"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany","MS"
"SampleVolume","50 uL"
"DDGate","7500 to 19000"
"SampleTimeout","0 sec"
"BatchStartTime","7/21/2020 2:36:39 PM"
"BatchStopTime","7/21/2020 2:48:31 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","FlexMAP 3D Map","Type","MagPlex","Count","6"
"ProtocolReporterGain","Standard PMT"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last F3DeCAL1 Calibration","Passed 07/20/2020 17:29:03"
"Last F3DCAL2 Calibration","Passed 07/20/2020 17:29:52"
"Last F3DCAL3 Calibration","Passed 07/20/2020 17:30:08"
"Last F3DeVER1 Verification","Passed 07/20/2020 17:31:53"
"Last F3DVER2 Verification","Passed 07/20/2020 17:32:40"
"Last Fluidics Test","Passed 07/20/2020 17:33:26"
""
"CALInfo:"
"Classification Calibrator Extended"
"Lot","ExpirationDate","CalibrationTime","DDTemp","CL1Temp","CL2Temp","CL3Temp","DDVolts","CL1Volts","CL2Volts","CL3Volts","DDRVal","CL1RVal","CL2RVal","CL3RVal","Result","MachineSerialNo"
"B76243","07/22/2021","7/20/2020 5:28:43 PM","25.97","26.07","25.47","26.02","68.1","107.86","116.11","110.7","395","946","1268","1057","Pass","FM3DD20029021"
"B75509","07/08/2021","7/20/2020 5:29:11 PM","25.91","25.99","25.47","25.97","42.1","107.65","116.01","110.5","182","942","1263","1051","Pass","FM3DD20029021"
"Reporter Calibrator"
"Lot","ExpirationDate","CalibrationTime","RP1(1)Volts","RP1(1)Val","RP1(2)Volts","RP1(2)Val","Result","MachineSerialNo"
"B76719","09/29/2021","7/20/2020 5:29:59 PM","574.07","3361","708.17","15327.5","Pass","FM3DD20029021"
"Lot","ExpirationDate","CalibrationTime","RP1Volts","RP1Val","Result","MachineSerialNo"
"B76720","09/29/2021","7/20/2020 5:30:16 PM","708.11","15259","Pass","FM3DD20029021"


"Samples","63","Min Events","100","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","NP","RBD","S1","HKU1","S2","Empty","Total Events"
"78(1,F10)","Unknown78","71","72","106","72","57","50","428"
"79(1,G10)","Unknown79","86","90","93","63","70","50","452"
"80(1,H10)","Unknown80","50","74","82","56","61","53","376"
"81(1,A11)","Unknown81","92","82","98","86","93","50","501"
"82(1,B11)","Unknown82","94","82","112","93","82","50","513"
"83(1,C11)","Unknown83","70","71","79","63","64","50","397"
"84(1,D11)","Unknown84","81","88","92","68","75","50","454"
"85(1,E11)","Unknown85","74","85","82","51","52","50","394"

"DataType:","Avg Net MFI"
"Sample","NP","RBD","S1","HKU1","S2","Empty"
"Unknown1","6244","3358.5","3697","279","3456","62.5"
"Unknown2","6086","3635.5","3263","143","2409.5","42.5"
"Unknown3","2384","1855","1380","55","827","34"
"Unknown4","637","565","385","34","256.5","25.5"
"Unknown5","160","170","111","23","81","17"
"Unknown6","83","87","51","23","40","20"
"Unknown7","50.5","45","29","21","29","18.5"
"Unknown8","36","39","20","19","25","24"
"Unknown9","72.5","82.5","42","161","108","57.5"
"Unknown10","75","62","37.5","92","208","25.5"
"Unknown11","115.5","125.5","56","68","99","21"
"Unknown12","72","67.5","45","79.5","65.5","26"
"Unknown13","116","89","45","104","114","23.5"
"Unknown14","93","93","61.5","756","117","22.5"
"Unknown15","69","55","39","109","82","21"
"Unknown16","69","77","37","164","108","53.5"
"Unknown17","100","88","53","309","220","28.5"
"Unknown18","61","126","44.5","1381","207","19.5"
"Unknown19","62.5","38.5","29","76","73","18"
"Unknown20","119","99","65.5","797.5","99","21"
"Unknown21","72.5","77.5","38","155.5","103","50"
"Unknown33","7084.5","7533","5896.5","475","10784","29.5"
"Unknown34","3816.5","4980.5","3258","100.5","5738.5","28.5"
"Unknown35","1276","2006","1171","38","1999","22.5"
"Unknown36","293.5","507","241","24","334","18"
"Unknown37","75.5","146","61","23","85","16.5"
"Unknown38","29","43","21","21","26","19"
"Unknown39","23","24","16","20","21","18"
"Unknown40","21","18.5","15","22","19","21.5"
"Unknown41","34","32","23.5","159","62","39"
"Unknown42","395","28.5","23","96.5","206","19.5"
"Unknown43","39","25","21.5","287","60","21"
"Unknown44","27.5","21","14.5","202","48","20.5"
"Unknown45","27.5","21","16","95.5","66","26"
"Unknown46","33","24","14","268","83.5","21"
"Unknown47","27","20.5","16","328","35","20"
"Unknown48","32","31","23","154","56","35.5"
"Unknown49","28","20.5","16","129.5","44","19"
"Unknown50","30","25","17","969","69","19.5"
"Unknown51","35","21.5","16","135.5","56","20"
"Unknown52","29","22","23","622","51","23"
"Unknown53","38","36.5","26.5","145","58","41"
